NOMBRE;APELLIDOS;LEGISLATURA;FECHAINICIOLEGISLATURA;FECHAFINLEGISLATURA;LEGISLATURAACTUAL
Juan Antonio;Abad Pérez;Leg. X;13/12/2011;13/01/2016;N
María Isabel;Abad Pinillos;Leg. V;29/06/1993;27/03/1996;N
Cristina;Abades Martínez;Leg. XV;17/08/2023;;S
José Luis;Ábalos Meco;Leg. IX;01/04/2008;13/12/2011;N
José Luis;Ábalos Meco;Leg. X;13/12/2011;13/01/2016;N
José Luis;Ábalos Meco;Leg. XI;13/01/2016;19/07/2016;N
José Luis;Ábalos Meco;Leg. XII;19/07/2016;21/05/2019;N
José Luis;Ábalos Meco;Leg. XIII;21/05/2019;03/12/2019;N
José Luis;Ábalos Meco;Leg. XIV;03/12/2019;17/08/2023;N
José Luis;Ábalos Meco;Leg. XV;17/08/2023;;S
Santiago;Abascal Conde;Leg. XIII;21/05/2019;03/12/2019;N
Santiago;Abascal Conde;Leg. XIV;03/12/2019;17/08/2023;N
Santiago;Abascal Conde;Leg. XV;17/08/2023;;S
Santiago;Abascal Escuza;Leg. VII;05/04/2000;02/04/2004;N
Ana María;Abascal y Calabria;Leg. II;18/11/1982;15/07/1986;N
Manuel;Abejón Adámez;Leg. II;18/11/1982;15/07/1986;N
Adolfo;Abejón Ortega;Leg. VI;27/03/1996;05/04/2000;N
Fernando;Abril Martorell;Leg. I;23/03/1979;18/11/1982;N
Joaquín;Abril Martorell;Leg. III;15/07/1986;21/11/1989;N
Joaquín;Abril Martorell;Leg. IV;21/11/1989;29/06/1993;N
Mª Rosario Fátima;Aburto Baselga;Leg. VIII;02/04/2004;01/04/2008;N
Mª Rosario Fátima;Aburto Baselga;Leg. IX;01/04/2008;13/12/2011;N
Ángel Jesús;Acebes Paniagua;Leg. VI;27/03/1996;05/04/2000;N
Ángel Jesús;Acebes Paniagua;Leg. VII;05/04/2000;02/04/2004;N
Ángel Jesús;Acebes Paniagua;Leg. VIII;02/04/2004;01/04/2008;N
Ángel Jesús;Acebes Paniagua;Leg. IX;01/04/2008;13/12/2011;N
Pedro;Acedo Penco;Leg. XII;19/07/2016;21/05/2019;N
Sofía;Acedo Reyes;Leg. XV;17/08/2023;;S
Manuel;Acevedo Bisshopp;Leg. Const.;14/07/1977;23/03/1979;N
Gervasio;Acevedo Fernández;Leg. VII;05/04/2000;02/04/2004;N
José Luis;Aceves Galindo;Leg. XIII;21/05/2019;03/12/2019;N
José Luis;Aceves Galindo;Leg. XIV;03/12/2019;17/08/2023;N
José Luis;Aceves Galindo;Leg. XV;17/08/2023;;S
María del Carmen Juana;Achutegui Basagoiti;Leg. IX;01/04/2008;13/12/2011;N
Luis;Acín Boned;Leg. VII;05/04/2000;02/04/2004;N
Alberto;Acítores Balbás;Leg. II;18/11/1982;15/07/1986;N
Alberto;Acítores Balbás;Leg. III;15/07/1986;21/11/1989;N
José;Acosta Cubero;Leg. I;23/03/1979;18/11/1982;N
José;Acosta Cubero;Leg. II;18/11/1982;15/07/1986;N
José;Acosta Cubero;Leg. III;15/07/1986;21/11/1989;N
José;Acosta Cubero;Leg. IV;21/11/1989;29/06/1993;N
José;Acosta Cubero;Leg. V;29/06/1993;27/03/1996;N
José;Acosta Cubero;Leg. VI;27/03/1996;05/04/2000;N
José;Acosta Cubero;Leg. VII;05/04/2000;02/04/2004;N
José;Acosta Cubero;Leg. VIII;02/04/2004;01/04/2008;N
María Ángeles;Adán de la Paz;Leg. XIII;21/05/2019;03/12/2019;N
María;Adrio Taracido;Leg. XV;17/08/2023;;S
José Luis;Adsuar Ferrando;Leg. II;18/11/1982;15/07/1986;N
Joseba Andoni;Agirretxea Urresti;Leg. IX;01/04/2008;13/12/2011;N
Joseba Andoni;Agirretxea Urresti;Leg. X;13/12/2011;13/01/2016;N
Joseba Andoni;Agirretxea Urresti;Leg. XI;13/01/2016;19/07/2016;N
Joseba Andoni;Agirretxea Urresti;Leg. XII;19/07/2016;21/05/2019;N
Joseba Andoni;Agirretxea Urresti;Leg. XIII;21/05/2019;03/12/2019;N
Joseba Andoni;Agirretxea Urresti;Leg. XIV;03/12/2019;17/08/2023;N
Joseba Andoni;Agirretxea Urresti;Leg. XV;17/08/2023;;S
Pedro;Agramunt Font de Mora;Leg. IV;21/11/1989;29/06/1993;N
María Josefa;Aguado del Olmo;Leg. VII;05/04/2000;02/04/2004;N
Cristina;Agüera Gago;Leg. XV;17/08/2023;;S
Ernesto;Aguiar Rodríguez;Leg. X;13/12/2011;13/01/2016;N
Ernesto;Aguiar Rodríguez;Leg. XII;19/07/2016;21/05/2019;N
Julio;Aguilar Azañón;Leg. I;23/03/1979;18/11/1982;N
Manuel Ángel;Aguilar Belda;Leg. II;18/11/1982;15/07/1986;N
Manuel Ángel;Aguilar Belda;Leg. VII;05/04/2000;02/04/2004;N
Juan Carlos;Aguilar Moreno;Leg. I;23/03/1979;18/11/1982;N
Rosa;Aguilar Rivero;Leg. V;29/06/1993;27/03/1996;N
Rosa;Aguilar Rivero;Leg. VI;27/03/1996;05/04/2000;N
Rosa;Aguilar Rivero;Leg. X;13/12/2011;13/01/2016;N
José Antonio;Aguiriano Forniés;Leg. Const.;14/07/1977;23/03/1979;N
José Antonio;Aguiriano Forniés;Leg. I;23/03/1979;18/11/1982;N
Luis Alberto;Aguiriano Forniés;Leg. III;15/07/1986;21/11/1989;N
Luis Alberto;Aguiriano Forniés;Leg. IV;21/11/1989;29/06/1993;N
Luis Alberto;Aguiriano Forniés;Leg. V;29/06/1993;27/03/1996;N
Luis Alberto;Aguiriano Forniés;Leg. VI;27/03/1996;05/04/2000;N
Francisco Javier Máximo;Aguirre de la Hoz;Leg. Const.;14/07/1977;23/03/1979;N
Francisco Javier Máximo;Aguirre de la Hoz;Leg. I;23/03/1979;18/11/1982;N
Rocío;Aguirre Gil de Biedma;Leg. XV;17/08/2023;;S
Iñigo;Aguirre Kerexeta;Leg. Const.;14/07/1977;23/03/1979;N
Iñigo;Aguirre Kerexeta;Leg. I;23/03/1979;18/11/1982;N
Iñigo;Aguirre Kerexeta;Leg. II;18/11/1982;15/07/1986;N
Ramón;Aguirre Rodríguez;Leg. IV;21/11/1989;29/06/1993;N
Ramón;Aguirre Rodríguez;Leg. V;29/06/1993;27/03/1996;N
Ramón;Aguirre Rodríguez;Leg. VI;27/03/1996;05/04/2000;N
Ramón;Aguirre Rodríguez;Leg. VII;05/04/2000;02/04/2004;N
Ramón;Aguirre Rodríguez;Leg. IX;01/04/2008;13/12/2011;N
Ramón;Aguirre Rodríguez;Leg. X;13/12/2011;13/01/2016;N
Ramón;Aguirre Rodríguez;Leg. XII;19/07/2016;21/05/2019;N
María Jesús;Aguirre Uribe;Leg. VI;27/03/1996;05/04/2000;N
Juan José;Aizcorbe Torra;Leg. XIV;03/12/2019;17/08/2023;N
Juan José;Aizcorbe Torra;Leg. XV;17/08/2023;;S
Jesús;Aizpún Tuero;Leg. Const.;14/07/1977;23/03/1979;N
Jesús;Aizpún Tuero;Leg. I;23/03/1979;18/11/1982;N
Jesús;Aizpún Tuero;Leg. II;18/11/1982;15/07/1986;N
Jesús;Aizpún Tuero;Leg. III;15/07/1986;21/11/1989;N
Jesús;Aizpún Tuero;Leg. IV;21/11/1989;29/06/1993;N
Jesús;Aizpún Tuero;Leg. V;29/06/1993;27/03/1996;N
Mertxe;Aizpurua Arzallus;Leg. XIII;21/05/2019;03/12/2019;N
Mertxe;Aizpurua Arzallus;Leg. XIV;03/12/2019;17/08/2023;N
Mertxe;Aizpurua Arzallus;Leg. XV;17/08/2023;;S
Itziar;Aizpurúa Egaña;Leg. III;15/07/1986;21/11/1989;N
Itziar;Aizpurúa Egaña;Leg. IV;21/11/1989;29/06/1993;N
César;Aja Mariño;Leg. III;15/07/1986;21/11/1989;N
César;Aja Mariño;Leg. IV;21/11/1989;29/06/1993;N
Juan;Ajuriaguerra Ochandiano;Leg. Const.;14/07/1977;23/03/1979;N
José;Alarcón Molina;Leg. VI;27/03/1996;05/04/2000;N
José Miguel;Alava Aguirre;Leg. Const.;14/07/1977;23/03/1979;N
Maciá;Alavedra i Moner;Leg. Const.;14/07/1977;23/03/1979;N
Maciá;Alavedra i Moner;Leg. I;23/03/1979;18/11/1982;N
Maciá;Alavedra i Moner;Leg. III;15/07/1986;21/11/1989;N
Nayua Miriam;Alba Goveli;Leg. XI;13/01/2016;19/07/2016;N
Nayua Miriam;Alba Goveli;Leg. XII;19/07/2016;21/05/2019;N
María Dolores;Alba Mullor;Leg. XII;19/07/2016;21/05/2019;N
Joaquín;Albaladejo Martínez;Leg. XI;13/01/2016;19/07/2016;N
Joaquín;Albaladejo Martínez;Leg. XII;19/07/2016;21/05/2019;N
José Manuel;Albares Bueno;Leg. XV;17/08/2023;;S
Juan Manuel;Albendea Pabón;Leg. VI;27/03/1996;05/04/2000;N
Juan Manuel;Albendea Pabón;Leg. VII;05/04/2000;02/04/2004;N
Juan Manuel;Albendea Pabón;Leg. VIII;02/04/2004;01/04/2008;N
Juan Manuel;Albendea Pabón;Leg. IX;01/04/2008;13/12/2011;N
