word,sentiment_eng
ciegamente,negative
ciegamente,sadness
a distancia,negative
a hurtadillas,surprise
a la deriva,anticipation
a la deriva,fear
a la deriva,negative
a la deriva,sadness
a la fuerza,anger
a la fuerza,fear
a la fuerza,negative
a prueba de balas,positive
a prueba de la intemperie,positive
a regañadientes,negative
ábaco,trust
abad,trust
abandonada,anger
abandonada,fear
abandonada,negative
abandonada,sadness
abandonada,negative
abandonada,anger
abandonada,disgust
abandonada,fear
abandonada,negative
abandonada,sadness
abandonada,negative
abandonada,sadness
abandonada,anger
abandonada,negative
abandonada,sadness
abandonado,anger
abandonado,fear
abandonado,negative
abandonado,sadness
abandonado,negative
abandonado,anger
abandonado,disgust
abandonado,fear
abandonado,negative
abandonado,sadness
abandonado,negative
abandonado,sadness
abandonado,anger
abandonado,negative
abandonado,sadness
abandonar,fear
abandonar,negative
abandonar,sadness
abandonar,negative
abandonar,sadness
abandono,anger
abandono,fear
abandono,negative
abandono,sadness
abandono,surprise
abastecer,positive
abba,positive
abedul,anger
abedul,disgust
abedul,fear
abedul,negative
abeja,anger
abeja,fear
aberración,disgust
aberración,negative
aberrante,negative
abierto,fear
abismal,negative
abismal,sadness
abismo,fear
abismo,negative
abismo,sadness
abismo,fear
abogacía,anger
abogacía,anticipation
abogacía,joy
abogacía,positive
abogacía,trust
abogada,trust
abogada,anger
abogada,fear
abogada,positive
abogada,trust
abogada,anger
abogada,disgust
abogada,fear
abogada,negative
abogado,trust
abogado,anger
abogado,fear
abogado,positive
abogado,trust
abogado,anger
abogado,disgust
abogado,fear
abogado,negative
abolición,negative
abolir,anger
abolir,negative
abollada,fear
abollada,negative
abollada,sadness
abollado,fear
abollado,negative
abollado,sadness
abominable,disgust
abominable,fear
abominable,negative
abominación,anger
abominación,disgust
abominación,fear
abominación,negative
aborrecer,anger
aborrecer,disgust
aborrecer,fear
aborrecer,negative
aborrecible,anger
aborrecible,disgust
aborrecible,fear
aborrecible,negative
abortar,negative
abortivo,negative
abortivo,sadness
aborto,disgust
aborto,fear
aborto,negative
aborto,sadness
aborto espontáneo,fear
aborto espontáneo,negative
aborto espontáneo,sadness
abrasador,anger
abrasador,negative
abrasión,negative
abrazo,joy
abrazo,positive
abrazo,trust
abrazo,anticipation
abrazo,joy
abrazo,positive
abrazo,surprise
abrazo,trust
abrazo,joy
abrazo,positive
abrazo,trust
abrigo,positive
abrigo,trust
abrogar,negative
abrumada,negative
abrumada,sadness
abrumado,negative
abrumado,sadness
abrumador,anger
abrumador,fear
abrumador,negative
abrumador,positive
abrumar,negative
abrupto,surprise
absceso,negative
absceso,sadness
absentismo,negative
absolución,joy
absolución,positive
absolución,trust
absoluto,positive
absorbida,positive
absorbido,positive
absurda,negative
absurda,negative
absurda,disgust
absurda,negative
absurda,negative
absurda,sadness
absurdo,negative
absurdo,negative
absurdo,disgust
absurdo,negative
absurdo,negative
absurdo,sadness
abucheo,negative
abuela,positive
abuelo,trust
abundancia,anticipation
abundancia,disgust
abundancia,joy
abundancia,negative
abundancia,positive
abundancia,trust
abundancia de nubes,fear
abundancia de nubes,negative
abundante,joy
abundante,positive
abundante,anticipation
abundante,joy
abundante,positive
abundante,positive
abundante,negative
aburrida,negative
aburrida,negative
aburrida,sadness
aburrido,negative
aburrido,negative
aburrido,sadness
aburrimiento,negative
aburrimiento,sadness
aburrir,negative
abusa,anger
abusa,disgust
abusa,fear
abusa,negative
abusa,sadness
abuso,anger
abuso,disgust
abuso,fear
abuso,negative
abuso,sadness
abyecta,disgust
abyecta,negative
abyecto,disgust
abyecto,negative
academia,positive
académico,positive
académico,trust
acantilada,fear
acantilado,fear
ácaro,disgust
ácaro,negative
accesible,positive
accesorio,positive
accidental,fear
accidental,negative
accidental,surprise
accidentalmente,surprise
accidente,fear
accidente,negative
accidente,sadness
accidente,surprise
acción,positive
acción de gracias,joy
acción de gracias,positive
accueil,positive
acechar,negative
acecho,negative
acelerador,anger
acelerador,negative
acelerar,anticipation
acelerar,anticipation
aceptable,positive
aceptación,positive
achispada,negative
achispado,negative
ácida,negative
acidez,negative
ácido,negative
aclarar,joy
aclarar,positive
aclarar,surprise
aclarar,trust
aclarar,positive
acogedor,positive
acompañamiento,anticipation
acompañamiento,joy
acompañamiento,positive
acompañamiento,trust
aconsejable,positive
aconsejable,trust
aconsejada,trust
aconsejado,trust
acontecer,negative
acosar,anger
acosar,disgust
acosar,negative
acosar,anger
acosar,negative
acosar,sadness
acoso,anger
acoso,disgust
acoso,fear
acoso,negative
acoso,sadness
acostada,anger
acostada,disgust
acostada,negative
acostado,anger
acostado,disgust
acostado,negative
acre,disgust
acre,negative
acreditada,positive
acreditada,positive
acreditada,trust
acreditado,positive
acreditado,positive
acreditado,trust
acreedor hipotecario,trust
acribillada,negative
acribillado,negative
acróbata,fear
acróbata,joy
acróbata,positive
acróbata,trust
actitud,negative
acuerda,positive
acuerda,trust
acuerdo,positive
acuerdo,trust
acuoso,negative
acusación,anger
acusación,disgust
acusación,negative
acusación,anger
acusación,fear
acusación,negative
acusación,sadness
acusación,negative
acusación,fear
acusación,negative
acusada,anger
acusada,fear
acusada,negative
acusada,anger
acusada,fear
acusada,sadness
acusado,anger
acusado,fear
acusado,negative
acusado,anger
acusado,fear
acusado,sadness
acusador,anger
acusador,fear
acusador,negative
acusando,anger
acusando,fear
acusando,negative
acusativo,negative
adaptable,positive
adaptar,positive
adecuación,positive
adecuada,anticipation
adecuada,joy
adecuada,positive
adecuada,trust
adecuada,positive
adecuado,anticipation
adecuado,joy
adecuado,positive
adecuado,trust
adecuado,positive
adelantar,negative
adelante,positive
adelante,positive
adelanto,positive
adepto,positive
adherida,trust
adherido,trust
adherirse,fear
adiccion,negative
adiós,anticipation
adiposo,negative
adivinar,surprise
adjunto,positive
adjunto archivo,positive
administración,positive
administración,trust
administrativo,trust
admirable,joy
admirable,positive
admirable,trust
admiración,joy
admiración,positive
admiración,trust
admirador,positive
admirar,positive
admirar,trust
admisible,positive
admisible,trust
admisible,positive
adoctrinamiento,anger
adoctrinamiento,fear
adoctrinamiento,negative
adolescentes,negative
adolescentes,positive
adorable,joy
adorable,positive
adoración,joy
adoración,positive
adoración,trust
adorar,anticipation
adorar,joy
adorar,positive
adorar,trust
adornada,positive
adornado,positive
adornar,negative
adornos,negative
adquirir,positive
adquisidor,anticipation
adquisidor,positive
adular,negative
adulterio,disgust
adulterio,negative
adulterio,sadness
adversario,anger
adversario,negative
adversario,anger
adversario,anticipation
adversario,disgust
adversario,fear
adversario,negative
adversidad,anger
adversidad,fear
adversidad,negative
adversidad,sadness
adverso,anger
adverso,disgust
adverso,fear
adverso,negative
adverso,sadness
adverso,anger
adverso,disgust
adverso,negative
advertencia,fear
advertida,fear
advertido,fear
advertir,anticipation
advertir,fear
advertir,negative
advertir,surprise
advertir,trust
adviento,anticipation
adviento,joy
adviento,positive
adviento,trust
aeropuerto,anticipation
afable,positive
afán,anticipation
afán,joy
afán,positive
afán,trust
afecto,joy
afecto,positive
afecto,trust
afeminada,negative
afeminado,negative
áfida,disgust
áfida,negative
áfido,disgust
áfido,negative
afilar,anger
afilar,anticipation
afirmación,positive
afirmando,positive
afirmando,trust
afirmar,positive
afirmar,trust
afirmativamente,positive
afirmativamente,trust
afirmativo,positive
aflicción,disgust
aflicción,fear
